age,equipment,Arousal_1
14.450000,3,0.247257
13.240000,3,0.324594
14.030000,3,0.269858
7.050000,3,0.238816
12.070000,3,0.285113
11.890000,3,0.280095
10.210000,3,0.133863
9.270000,3,0.348580
13.560000,3,0.365990
13.560000,3,0.372673
6.600000,3,0.353779
7.960000,3,0.366303
8.650000,3,0.629078
11.040000,3,0.229357
9.710000,3,0.224019
9.450000,3,0.492520
6.800000,3,0.179902
46.840000,3,0.445272
23.360000,3,0.419038
19.280000,3,0.295704
23.930000,3,0.283204
24.180000,3,0.291357
24.330000,3,0.264022
25.010000,3,0.292844
32.580000,3,0.335603
35.410000,3,0.261714
27.080000,3,0.362218
31.790000,3,0.287951
22.140000,3,0.144872
54.910000,3,0.400493
24.790000,3,0.301424
41.330000,3,0.308205
41.030000,3,0.355000
35.650000,3,0.403469
29.040000,3,0.542792
23.150000,3,0.317751
22.790000,3,0.304411
54.170000,3,0.563893
23.810000,3,0.335080
24.590000,3,0.280109
27.730000,3,0.516096
27.100000,3,0.279702
18.010000,3,0.368461
17.180000,3,0.224174
15.760000,3,0.236908
17.460000,3,0.203093
17.630000,3,0.323251
17.600000,3,0.275902
17.690000,3,0.294000
26.480000,3,0.306920
40.920000,3,0.393347
22.730000,3,0.265775
24.660000,3,0.338528
17.820000,3,0.321617
17.530000,3,0.282745
44.850000,3,0.401723
53.380000,3,0.428503
45.070000,3,0.367925
45.600000,3,0.432346
46.020000,3,0.301774
23.210000,3,0.251211
45.620000,3,0.378179
43.220000,3,0.384625
22.020000,3,0.365587
76.560000,3,0.238428
63.250000,3,0.591426
69.770000,3,0.620092
67.070000,3,0.390276
63.660000,3,0.334244
64.130000,3,0.270462
66.090000,3,0.489159
70.340000,3,0.304126
68.200000,3,0.424126
80.400000,3,0.349207
60.210000,3,0.272162
12.340000,3,0.281339
8.910000,3,0.212818
8.280000,3,0.284568
6.100000,3,0.176434
7.460000,3,0.249538
9.380000,3,0.264916
9.280000,3,0.215720
6.940000,3,0.160436
12.520000,3,0.247407
8.820000,3,0.294191
11.580000,3,0.189175
10.220000,3,0.183892
8.980000,3,0.262943
7.510000,3,0.294890
7.750000,3,0.270628
11.550000,3,0.265050
7.800000,3,0.255087
10.990000,3,0.265677
10.670000,3,0.220659
11.730000,3,0.257491
9.220000,3,0.320757
13.710000,3,0.272858
6.560000,3,0.171601
7.530000,3,0.223529
11.630000,3,0.261748
12.350000,3,0.378358
11.640000,3,0.270924
8.700000,3,0.248554
13.960000,3,0.221837
9.170000,3,0.236602
11.910000,3,0.237396
14.740000,3,0.259474
7.960000,3,0.247264
8.310000,3,0.229931
8.910000,3,0.236806
10.300000,3,0.308714
12.730000,3,0.230504
15.360000,3,0.328062
8.320000,3,0.290393
11.890000,3,0.258409
8.410000,3,0.181496
10.300000,3,0.224755
6.880000,3,0.197615
8.840000,3,0.228962
11.870000,3,0.538133
8.670000,3,0.270290
10.240000,3,0.239011
8.350000,3,0.125208
11.660000,3,0.267011
7.340000,3,0.135903
12.630000,3,0.298739
11.280000,3,0.420233
13.190000,3,0.280350
15.770000,3,0.294607
16.450000,3,0.299218
12.410000,3,0.403818
13.680000,3,0.249053
13.070000,3,0.246477
11.320000,3,0.235271
6.840000,3,0.124313
6.690000,3,0.287823
12.390000,3,0.999430
10.550000,3,0.212027
7.440000,3,0.143915
14.730000,3,0.217118
13.440000,3,0.261987
8.280000,3,0.225176
8.040000,3,0.310628
9.960000,3,0.448996
12.460000,3,0.297223
6.450000,3,0.268965
14.370000,3,0.255981
13.880000,3,0.195716
14.920000,3,0.365225
12.260000,3,0.357801
9.630000,3,0.223444
11.240000,3,0.274467
12.080000,3,0.493701
12.530000,3,0.433077
7.860000,3,0.147302
13.080000,3,0.184143
9.570000,3,0.285403
14.740000,3,0.328678
8.610000,3,0.226568
6.410000,3,0.130154
11.610000,3,0.295569
9.830000,3,0.284711
7.400000,3,0.264913
10.800000,3,0.268316
14.370000,3,0.291709
8.830000,3,0.295501
14.600000,3,0.318625
8.870000,3,0.219783
6.020000,3,0.225529
7.520000,3,0.172195
6.740000,3,0.246661
11.460000,3,0.788940
10.990000,3,0.249881
11.310000,3,0.251907
12.930000,3,0.211788
10.360000,3,0.570475
9.350000,3,0.236711
7.750000,3,0.206273
14.730000,3,0.239557
7.520000,3,0.233113
10.630000,3,0.277376
13.420000,3,0.334608
9.050000,3,0.263475
6.860000,3,0.257642
12.840000,3,0.303423
14.840000,3,0.304668
11.940000,3,0.320911
9.710000,3,0.225306
14.860000,3,0.289144
6.140000,3,0.210062
13.630000,3,0.287825
11.540000,3,0.467403
11.090000,3,0.304042
11.560000,3,0.262775
12.990000,3,0.301974
10.890000,3,0.249267
7.660000,3,0.433795
10.440000,3,0.329614
5.980000,3,0.211325
8.050000,3,0.195036
